,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,LINK,DATA_COLETA
30,60e3d3786395f772f1cc9bc9,Cachaça Boazinha,"R$ 42,00"," Quem não gosta de apelidar a sua bebida favorita? Quando gostamos não costumamos chamar pelo nome, mas sim com uma expressão carinhosa. A Cachaça Boazinha, tem este nome em homenagem a muitos degustadores que a tratam com tanta intimidade, desde os seus tempos a granel. Sabe qual o segredo deste destilado brasileiro tão admirado? O seu envelhecimento em barris de bálsamo, confere ao líquido uma suavidade que é um verdadeiro prêmio para o paladar. Quando a bebida já encheu os sentidos do degustador, sente-se o aroma arrebatador de ervas, o que fica impossível ficar indiferente a tanto prazer. O seu paladar e olfato serão envolvidos de forma inconfundível. O resultado desta onda de sensações se deve a 4 anos de armazenamento em madeira. ",Volume: 670 ml,https://www.cachacariadosamigos.com.br/cachacas/cachaca-boazinha-670-ml,26/06/2021 15:44
31,60e3d3786395f772f1cc9bca,Cachaça Box 32 Ouro,"R$ 67,00","Cachaça de Luiz Alves, Santa Catarina, produzida a partir de cana-de-açúcar selecionada, destilada em alambiques de cobre e armazenada em tonéis de carvalho. Graduação alcoólica 38.0% vão",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-box-32-ouro,26/06/2021 15:44
32,60e3d3786395f772f1cc9bcb,Cachaça Box 32 Ouro Porcelana,"R$ 85,00","Cachaça de Luiz Alves, Santa Catarina, produzida a partir de cana-de-açúcar selecionada, destilada em alambiques de cobre e armazenada em tonéis de carvalho. Graduação alcoólica 38.0% vol.com 700 ml. Envelhecida por 5 anos",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-box-32-ouro-porcelana,26/06/2021 15:44
33,60e3d3786395f772f1cc9bcc,Cachaça Box 32 Prata,"R$ 65,00","Cachaça de Luiz Alves, Santa Catarina, produzida a partir de cana-de-açúcar selecionada, destilada em alambiques de cobre.com 700 ml. Graduação alcoólica 38.0% vol",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-box-32-prata,26/06/2021 15:44
34,60e3d3786395f772f1cc9bcd,Cachaça Busca Vida Aperitivo,"R$ 110,00"," O interior de São Paulo reserva pequenos tesouros do destilado brasileiro. Na cidade de Bragança Paulista, é desenvolvida uma cachaça artesanal de respeito, com todos os atributos que reverenciam a tradição desta bebida. A Cachaça Aperitivo Busca Vida, é uma obra-prima de Carlos de Oliveira e Família, que aplicou as melhores técnicas e processos em uma boa bebida. Este produto consegue ser único pela mistura e harmonia que seus ingredientes trazem. Com a cachaça artesanal, toque de mel, açúcar e limão, desperta um prazer indiscutível para quem quer uma experiência única e nunca provada antes. Aprecie está bebida gelada, sinta o seu corpo reagir ao sabor com respostas de prazer. O contentamento vai tomar o seu ser, e o momento de gustativo será memorável.",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-busca-vida-aperitivo,26/06/2021 15:44
35,60e3d3786395f772f1cc9bce,Cachaça Cabaré Ouro,"R$ 35,00","Envelhecida em barris de carvalho por 6 meses, está é uma cachaça que possui produção artesanal, feita completamente em propriedade familiar, desde o plantio da cana-de-açúcar até sua destilação. Produto totalmente brasileiro, ela possui uma coloração característica e, pelo seu sabor suave, é ideal para preparar aquela deliciosa caipirinha. Graduação alcoólica 38%. Contém 700ml. ",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-cabare-ouro,26/06/2021 15:44
36,60e3d3786395f772f1cc9bcf,Cachaça Cabaré Prata,"R$ 32,00","Baseada na parceria musical de sucesso da dupla Leonardo e Eduardo Costa, essa bebida segue à risca toda a tradição que faz de uma cachaça artesanal um grande patrimônio nacional. A Cachaça Cabaré Prata, é armazenada em tonéis de amendoim, o que ajuda a tornar o líquido mais encorpado em aroma e sabores provenientes da destilação da cana-de-açúcar. Sua cor clara, denuncia uma suavidade característica de sua produção, criando sabores mais adocicados, e uma inclinação para o uso de seu líquido na preparação de outros drinks. A personalização da garrafa vai ser um diferencial em destaque na sua adega. Com pouco tempo de criação, a Cachaça Cabaré Prata já é uma releitura incrível dos grandes clássicos do destilado brasileiro. Sacie todo o seu saudosismo com está bebida que alcançou as paradas de sucesso.",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-cabare-prata,26/06/2021 15:44
37,60e3d3786395f772f1cc9bd0,Cachaça Cambraia,"R$ 65,10"," O envelhecimento proporciona qualidades inimagináveis para uma cachaça artesanal. Uma vestimenta elegante para dar ao degustador um momento de alto glamour e elegância. A Cachaça Cambraia passou por um processo de amadurecimento durante 1 ano, o que foi essencial para que o seu sabor ganhasse uma identidade única e incomparável. O processo de fermentação da cana-de-açúcar, é feito de uma forma muito técnica e cuidadosa, para que a maciez e a suavidade possam se impregnar de forma inconfundível ao líquido. A palavra “Cambraia” tem história, e você vai perceber está trajetória quando sentir a bebida adentrar a sua boca. Cambraia é sinônimo de Cachaça artesanal de qualidade, apelidada com este nome por poetas e intelectuais boêmios de épocas antigas da cidade do Rio de Janeiro. A sua adega precisa registrar a história. Adquira um sabor histórico para os seus momentos. ",,https://www.cachacariadosamigos.com.br/cachacas/cachaca-cambraia,26/06/2021 15:45
38,60e3d3786395f772f1cc9bd1,Cachaça Cambraia - Amburana / Carvalho / Ipê,"R$ 70,00","O envelhecimento em carvalho é conhecido mundialmente, amaciando diversos destilados desde o whisky escocês até o rum caribenho e claro a legítima bebida brasileira a cachaça. Cambraia Carvalho & Aburana & Ipê, combina o sabor especial da cachaça envelhecida em carvalho com cachaça envelhecida em Amburana, com suas notas aromáticas frutadas, notas de baunilha e toque de especiarias e ainda surpreende com o envelhecimento em Ipê, que resulta num produto suave, de coloração intensa, com notas frutadas, notas de castanhas. O equilíbrio desta combinação é perfeito para ser harmonizado com diversos pratos de nossa exuberante culinária. Graduação alcoólica 40% vol.Disponível em garrafa de vidro de 750 mL; ",Volume: 750ml,https://www.cachacariadosamigos.com.br/cachacas/cachaca-cambraia-amburana-carvalho-ipe-750ml,26/06/2021 15:45
39,60e3d3786395f772f1cc9bd2,Cachaça Cambraia - Amburana,"R$ 70,00","O envelhecimento em carvalho é conhecido mundialmente, amaciando diversos destilados desde o whisky escocês até o rum caribenho e claro a legítima bebida brasileira a cachaça. Cambraia Carvalho & Amburana, combina o sabor especial da cachaça envelhecida em carvalho com cachaça envelhecida em amburana, madeira brasileira que intensifica os aromas característicos da cachaça, originando um destilado com uma coloração agradável, maciez e corpo e ainda destacando em seu aroma notas aromáticas frutadas, notas de baunilha e toque de especiarias. Graduação alcoólica 40% vol. Disponível em garrafa de vidro de 750 mL; ",Volume: 750ml,https://www.cachacariadosamigos.com.br/cachacas/cachaca-cambraia-amburana-750ml,26/06/2021 15:45
