,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,GRADUAÇÃO_ALCOÓLICA,RECIPIENTE_DE_ARMAZENAMENTO,TIPO,PRODUTOR,LOCAL_DE_PRODUÇÃO,LINK,DATA_COLETA
539,60da728748d04e334f32a22f, Cachaça Quizumba Sapucaia,"R$ 34,00"," A Cachaça Quizumba foi desenvolvida especialmente para caipirinhas e finos coquetéis, tem características Dry (seca) e também pode ser apreciada pura, pois tem aromas característicos da cana. Envelhecida 1 ano em tonéis de amendoim, madeira que não agrega cor nem sabor (branquinha) possui melhor relação custo x beneficio para quem deseja uma verdadeira cachaça artesanal, porém com preço acessível , sem abrir mão de qualidade. Cachaça envasada em vasilhames de 600ml , com qualidade e preço acessível para publico que entende de cachaça para alem da garrafa. ",Volume: 620 ml ,Graduação Alcoólica: 40% ,,,Produtor: Fazenda Sapucaia ,Local de Produção: Pindamonhangaba / SP ,https://www.amburana.com/cachacas/cachaca-quizumba-620-ml.html,26/06/2021 15:49
540,60da728748d04e334f32a230, Cachaça Senzala Ouro Sapucaia,"R$ 38,00"," A cachaça Senzala Ouro Sapucaia 600ml É uma cachaça envelhecida em tonéis de carvalho, Sua composição a torna um produto fino, porem acessivel e seu sabor levemente adocicado a torna muito apreciada. Seu resultado é excepcional seja para drinks ou degustada pura. ",Volume: 600 ml ,Graduação Alcoólica: 40% ,,,Produtor: Fazenda Sapucaia ,Local de Produção: Pindamonhangaba / SP ,https://www.amburana.com/cachacas/cachaca-senzala-ouro-600-ml.html,26/06/2021 15:49
541,60da728848d04e334f32a231, Cachaça Weber Haus Extra Premium 12 anos – Lote 48 –,"R$ 2.250,00"," A Cachaça Weber Haus Extra Premium 12 anos – Lote 48 – 750 ml é uma cachaça envelhecida 6 anos em barris de carvalho francês e 6 anos em bálsamo. Uma cachaça única, elaborada a partir da excelência na apreciação da bebida. A cada um deles está reservado um exemplar único da própria obra. Apenas outras 2 mil garrafas feitas artesanalmente a partir do sopro do vidro em fornalhas, numeradas e lacradas à mão levarão o inédito rótulo Weber Haus Lote 48 12 anos. Guarde, pois, o número 48. É um lote único. Que identifica a história, o presente e o futuro da Weber Haus. ",Volume: 750ml ,Graduação Alcoólica: 40% ,Tipo Barril: 6 anos no Carvalho francês e 6 anos no Balsamo ,Tipo: Premium ,Produtor: Weber Haus ,Local de Produção: Ivotí / Rio Grande do Sul ,https://www.amburana.com/cachacas/cachaca-weber-haus-extra-premium-12-anos-lote-48-750-ml.html,26/06/2021 15:49
542,60da728848d04e334f32a232, Cachaça Harmonie Schnaps Extra Premium,"R$ 420,00"," Uma cachaça única, edição limitada, A Cachaça Harmonie Schnaps Extra Premium é envelhecida 10 anos em barris de carvalho. Foram elaboradas somente 1200 garrafas e todos os exemplares são numerados. É um lançamento em comemoração aos 10 anos da Cachaçaria Harmonie Schnaps. ",Volume: 750 ml ,Graduação Alcoólica: 38% ,,,Produtor: Leandro Augusto Hilgert ,Local de Produção: Harmonia / Rio Grande do Sul ,https://www.amburana.com/cachacas/cachaca-harmonie-schnaps-extra-premium-750-ml.html,26/06/2021 15:49
543,60da728848d04e334f32a233, Cachaça Minas Ouro Prata Pocket,"R$ 12,00"," A Cachaça Minas Ouro é produzida na cidade de Ouro Fino / MG. Sua versão ""pocket"" contém 180 ml. ",Volume: 180 ml,,,,,,https://www.amburana.com/cachacas/cachaca-minas-ouro-prata-pocket-180-ml.html,26/06/2021 15:49
544,60da728848d04e334f32a234, Cachaça Matodentro Premium Prata,"R$ 38,00", A Cachaça Matodentro Premium Prata é proveniente da cidade de São Luiz do Paraitinga no interior de São Paulo. ,Volume: 700 ml ,,,,Produtor: Manuel Romulo ,Local de Produção: São Luiz Do Paraitinga / São Paulo ,https://www.amburana.com/cachacas/cachaca-matodentro-premium-prata-900ml.html,26/06/2021 15:49
545,60da728848d04e334f32a235, Cachaça Caraçuipe Prata,"R$ 79,90"," A Cachaça Caraçuipe é alagoana, da cidade de Campo Alegre. Ela é uma cachaça prata armazenada por 6 meses em toneis de jequitibá rosa. ",Volume: 750 ml ,,,Tipo: Prata ,,,https://www.amburana.com/cachacas/cachaca-caracuipe-prata-750-ml.html,26/06/2021 15:49
546,60da728848d04e334f32a236, Cachaça Caraçuipe Ouro,"R$ 95,00"," A Cachaça Caraçuipe Ouro é uma cachaça diferenciada, armazenada em barril de carvalho europeu que interfere na coloração e sabor do produto, tornando ainda mais aprimorado. ",Volume: 750 ml,,,,,,https://www.amburana.com/cachacas/cachaca-caracuipe-ouro-750-ml.html,26/06/2021 15:50
547,60da728848d04e334f32a237, Cachaça Canabella Jequitibá mini,"R$ 15,00"," A Cachaça Canabella Jequitibá é produzida no Alambique Canabella que fica situado na divisa dos municípios paulistas de Paraibuna e Estância Turística de Salesópolis, à beira da Serra do Mar, próximo da nascente do Rio Tietê. A Canabella Jequitibá é armazenada por 3 anos em tonéis de Jequitibá Rosa, madeira típica do estado de São Paulo. ",Volume: 50 ml ,Graduação Alcoólica: 44% ,,,Produtor: Canabela Indústria E Comercio De Cachaça Ltda ,Local de Produção: Paraibuna / SP ,https://www.amburana.com/cachacas/cachaca-canabella-jequitiba-mini-50-ml.html,26/06/2021 15:50
548,60da728848d04e334f32a238, Cachaça Canabella Ouro Mini,"R$ 15,00"," A Cachaça Canabella Ouro é produzida no Alambique Canabella, na cidade de Paraibuna/ SP. A Canabella Ouro é um blend cujo processo de armazenamento se dá em madeiras nobres brasileiras em tempos diferentes de repouso. Parte do seu volume permanece por 2 anos em tonéis de Jequitibá Rosa, madeira típica do estado de São Paulo. Outra parte, repousa por 1 ano em tonéis de Castanheira, árvore típica do Pará. E uma terceira parte repousa por 6 meses em tonéis de Amburana, árvore típica do sertão nordestino. Só então é feito o Blend em percentuais exclusivos para depois ser feito o acerto de graduação alcóolica e seguir para o repouso de uma semana e depois ser envasada. ",Volume: 50 ml ,Graduação Alcoólica: 42% ,,Tipo: Ouro ,Produtor: Canabela Indústria E Comercio De Cachaça Ltda ,Local de Produção: Paraibuna / SP ,https://www.amburana.com/cachacas/cachaca-canabella-ouro-mini-50-ml.html,26/06/2021 15:50
